word1,word2
friend,loyalty
theory,practice
boat,canoe
jail,offense
massage,knot
instrument,oboe
ruler,command
bed,pillow
clasp,squeeze
spell,curse
tomato,ketchup
celebration,beer
winter,ice
dungeon,cave
painting,gallery
infection,pain
time,second
feline,tiger
furniture,table
song,harmony
monkey,gorilla
wheel,tire
fleet,deck
television,commercial
crisis,shortage
promise,pact
road,tar
mountain,peak
sports,baseball
sign,marquee
power,knowledge
shade,curtain
dance,waltz
uprising,rebellion
hair,comb
travel,continent
blacksmith,horseshoe
theatre,balcony
car,headlights
shore,bank
pen,cap
cellar,wine
piercing,tattoo
mound,hill
fire,stove
string,cord
decency,courtesy
train,track
avenue,boulevard
outcome,solution
